,SUBJECTID,MTURKCODE,UPRIGHT,INVERTED,HOLISTIC_INDEX
0,1,8958129,0.925,0.775,0.15384615384615385
1,2,3447207,0.925,0.75,0.15384615384615385
2,3,8853818,0.95,0.725,0.23076923076923078
3,4,2631153,0.925,0.65,0.2564102564102564
4,5,6945018,0.925,0.725,0.1794871794871795
5,6,3158118,0.975,0.7,0.28205128205128205
6,7,8995867,0.9,0.725,0.20512820512820512
7,8,2476039,0.95,0.825,0.1282051282051282
8,9,9727504,0.975,0.725,0.2564102564102564
9,10,3607546,0.975,0.875,0.10256410256410256
10,11,9533352,0.95,0.6,0.358974358974359
11,12,4918779,0.85,0.775,0.07692307692307693
12,13,8848114,0.875,0.625,0.28205128205128205
13,14,2596766,0.75,0.675,0.05128205128205128
14,15,7023129,0.875,0.625,0.2564102564102564
15,16,215229,0.9,0.875,0.02564102564102564
16,17,8764208,0.95,0.725,0.20512820512820512
17,18,9195160,0.875,0.65,0.20512820512820512
18,19,3017963,0.775,0.65,0.10256410256410256
19,20,7456000,0.8,0.65,0.15384615384615385
