,SUBJECTID,MTURKCODE,UPRIGHT,INVERTED,HOLISTIC_INDEX,AGE,GENDER,HISPANIC,RACE,PREVIOUS_EXPERIENCE,AQ,CFMT
0,1,8958129,0.925,0.775,0.15384615384615385,26,Male,no,"White,Asian",no,14,54
1,2,3447207,0.925,0.75,0.15384615384615385,43,Male,no,White,no,11,62
2,3,8853818,0.95,0.725,0.2307692307692308,60,Female,no,White,I'm not sure,8,68
3,4,2631153,0.925,0.65,0.2564102564102564,35,Female,no,White,yes,24,39
4,5,6945018,0.925,0.725,0.1794871794871795,31,Male,no,White,no,6,59
5,6,3158118,0.975,0.7,0.28205128205128205,52,Male,no,White,I'm not sure,9,52
6,7,8995867,0.9,0.725,0.20512820512820512,35,Male,no,White,yes,23,63
7,8,2476039,0.95,0.825,0.1282051282051282,32,Male,no,White,I'm not sure,36,72
8,9,9727504,0.975,0.725,0.2564102564102564,29,Male,no,White,I'm not sure,25,49
9,10,3607546,0.975,0.875,0.10256410256410256,26,Male,no,White,no,16,51
10,11,9533352,0.95,0.6,0.35897435897435903,35,Female,no,White,no,13,50
11,12,4918779,0.85,0.775,0.07692307692307693,29,Female,no,Black or African American,no,17,47
12,13,8848114,0.875,0.625,0.28205128205128205,35,Male,no,White,no,23,43
13,14,2596766,0.75,0.675,0.05128205128205128,35,Female,no,White,yes,24,29
14,15,7023129,0.875,0.625,0.2564102564102564,39,Male,yes,Black or African American,no,23,35
15,16,215229,0.9,0.875,0.02564102564102564,35,Male,yes,Black or African American,no,23,36
16,17,8764208,0.95,0.725,0.20512820512820512,30,Female,no,White,no,25,54
17,18,9195160,0.875,0.65,0.20512820512820512,25,Female,yes,Black or African American,yes,22,57
18,19,3017963,0.775,0.65,0.10256410256410256,40,Male,yes,American Indian or Alaska Native,no,24,61
19,20,7456000,0.8,0.65,0.15384615384615385,39,Female,yes,Black or African American,no,28,41
