,IMAGE_NUMBER,REAL_NAME,MALE,FEMALE,SELECT,PAPER,PAPER_NUMBER,CORRECT
0,1,U0001.bmp,10,90,Select,No,,Female
1,2,U0003.bmp,0,100,Select,No,,Female
2,3,U0005.bmp,35,65,No,Yes,1,Not agreed
3,4,U0006.bmp,10,90,Select,Yes,2,Female
4,5,U0009.bmp,0,100,Select,Yes,3,Female
5,6,U0010.bmp,45,55,No,Yes,4,Not agreed
6,7,U0011.bmp,5,95,Select,Yes,5,Female
7,8,U0012.bmp,95,5,Select,Yes,6,Male
8,9,U0014.bmp,95,5,Select,Yes,7,Male
9,10,U0015.bmp,75,25,No,Yes,8,Not agreed
10,11,U0017.bmp,100,0,Select,No,,Male
11,12,U0018.bmp,0,100,Select,No,,Female
12,13,U0019.bmp,90,10,Select,No,,Male
13,14,U0020.bmp,90,10,Select,No,,Male
14,15,U0023.bmp,0,100,Select,No,,Female
15,16,U0024.bmp,10,90,Select,Yes,9,Female
16,17,U0025.bmp,0,100,Select,No,,Female
17,18,U0026.bmp,20,80,No,No,,Not agreed
18,19,U0027.bmp,0,100,Select,No,,Female
19,20,U0028.bmp,30,70,No,Yes,10,Not agreed
20,21,U0030.bmp,10,90,Select,Yes,11,Female
21,22,U0031.bmp,100,0,Select,No,,Male
22,23,U0033.bmp,40,60,No,Yes,12,Not agreed
23,24,U0034.bmp,0,100,Select,Yes,13,Female
24,25,U0036.bmp,100,0,Select,No,,Male
25,26,U0037.bmp,100,0,Select,No,,Male
26,27,U0038.bmp,100,0,Select,Yes,14,Male
27,28,U0039.bmp,95,5,Select,No,,Male
28,29,U0041.bmp,50,50,No,Yes,15,Not agreed
29,30,U0042.bmp,75,25,No,Yes,16,Not agreed
30,31,U0046.bmp,100,0,Select,Yes,17,Male
31,32,U0047.bmp,70,30,No,Yes,18,Not agreed
32,33,U0048.bmp,95,5,Select,No,,Male
33,34,U0049.bmp,95,5,Select,No,,Male
34,35,U0050.bmp,100,0,Select,No,,Male
35,36,U0052.bmp,100,0,Select,No,,Male
36,37,U0057.bmp,15,85,No,No,,Not agreed
37,38,U0058.bmp,100,0,Select,No,,Male
38,39,U0059.bmp,35,65,No,Yes,19,Not agreed
39,40,U0061.bmp,0,100,Select,Yes,20,Female
40,41,U0064.bmp,0,100,Select,No,,Female
41,42,U0068.bmp,90,10,Select,Yes,21,Male
42,43,U0069.bmp,0,100,Select,No,,Female
43,44,U0071.bmp,95,5,Select,No,,Male
44,45,U0072.bmp,45,55,No,Yes,22,Not agreed
45,46,U0073.bmp,40,60,No,Yes,23,Not agreed
46,47,U0074.bmp,100,0,Select,Yes,24,Male
47,48,U0075.bmp,95,5,Select,No,,Male
48,49,U0076.bmp,0,100,Select,No,,Female
49,50,U0078.bmp,70,30,No,Yes,25,Not agreed
50,51,U0079.bmp,0,100,Select,No,,Female
51,52,U0080.bmp,5,95,Select,No,,Female
52,53,U0084.bmp,95,5,Select,No,,Male
53,54,U0086.bmp,0,100,Select,Yes,26,Female
54,55,U0087.bmp,15,85,No,Yes,27,Not agreed
55,56,U0090.bmp,95,5,Select,No,,Male
56,57,U0091.bmp,20,80,No,No,,Not agreed
57,58,U0093.bmp,70,30,No,Yes,28,Not agreed
58,59,U0095.bmp,10,90,Select,No,,Female
59,60,U0096.bmp,95,5,Select,Yes,29,Male
60,61,U0097.bmp,0,100,Select,No,,Female
61,62,U0101.bmp,90,10,Select,No,,Male
62,63,U0103.bmp,55,45,No,Yes,30,Not agreed
63,64,U0106.bmp,5,95,Select,No,,Female
64,65,U0107.bmp,10,90,Select,Yes,31,Female
65,66,U0108.bmp,0,100,Select,No,,Female
66,67,U0110.bmp,95,5,Select,No,,Male
67,68,U0114.bmp,0,100,Select,No,,Female
68,69,U0117.bmp,95,5,Select,No,,Male
69,70,U0120.bmp,40,60,No,Yes,32,Not agreed
70,71,U0121.bmp,95,5,Select,Yes,33,Male
71,72,U0122.bmp,95,5,Select,Yes,34,Male
72,73,U0123.bmp,0,100,Select,Yes,35,Female
73,74,U0124.bmp,5,95,Select,No,,Female
74,75,U0125.bmp,100,0,Select,No,,Male
75,76,U0126.bmp,10,90,Select,No,,Female
76,77,U0128.bmp,95,5,Select,No,,Male
77,78,U0129.bmp,15,85,No,Yes,36,Not agreed
78,79,U0131.bmp,85,15,No,Yes,37,Not agreed
79,80,U0133.bmp,10,90,Select,No,,Female
80,81,U0134.bmp,10,90,Select,Yes,38,Female
81,82,U0136.bmp,95,5,Select,No,,Male
82,83,U0137.bmp,10,90,Select,No,,Female
83,84,U0138.bmp,25,75,No,Yes,39,Not agreed
84,85,U0139.bmp,50,50,No,Yes,40,Not agreed
85,86,U0140.bmp,0,100,Select,No,,Female
86,87,U0141.bmp,0,100,Select,No,,Female
87,88,U0142.bmp,95,5,Select,No,,Male
88,89,U0144.bmp,95,5,Select,No,,Male
89,90,U0145.bmp,15,85,No,Yes,41,Not agreed
90,91,U0146.bmp,5,95,Select,No,,Female
91,92,U0149.bmp,90,10,Select,No,,Male
92,93,U0152.bmp,5,95,Select,No,,Female
93,94,U0153.bmp,95,5,Select,No,,Male
94,95,U0155.bmp,5,95,Select,No,,Female
95,96,U0156.bmp,5,95,Select,No,,Female
96,97,U0157.bmp,95,5,Select,No,,Male
97,98,U0158.bmp,100,0,Select,No,,Male
98,99,U0159.bmp,100,0,Select,No,,Male
99,100,U0160.bmp,5,95,Select,No,,Female
100,101,U0164.bmp,5,95,Select,No,,Female
101,102,U0165.bmp,15,85,No,No,,Not agreed
102,103,U0166.bmp,95,5,Select,No,,Male
103,104,U0168.bmp,60,40,No,Yes,42,Not agreed
104,105,U0171.bmp,100,0,Select,No,,Male
105,106,U0173.bmp,10,90,Select,Yes,43,Female
106,107,U0175.bmp,100,0,Select,No,,Male
107,108,U0178.bmp,100,0,Select,Yes,44,Male
108,109,U0179.bmp,75,25,No,Yes,45,Not agreed
109,110,U0181.bmp,5,95,Select,No,,Female
110,111,U0182.bmp,25,75,No,Yes,46,Not agreed
111,112,U0183.bmp,70,30,No,Yes,47,Not agreed
112,113,U0186.bmp,15,85,No,Yes,48,Not agreed
113,114,U0187.bmp,80,20,No,Yes,49,Not agreed
114,115,U0188.bmp,15,85,No,Yes,50,Not agreed
115,116,U0189.bmp,30,70,No,No,,Not agreed
116,117,U0192.bmp,20,80,No,No,,Not agreed
117,118,U0193.bmp,5,95,Select,Yes,51,Female
118,119,U0194.bmp,5,95,Select,No,,Female
119,120,U0195.bmp,40,60,No,Yes,52,Not agreed
120,121,U0197.bmp,100,0,Select,Yes,53,Male
121,122,U0198.bmp,95,5,Select,No,,Male
122,123,U0199.bmp,100,0,Select,No,,Male
123,124,U0204.bmp,5,95,Select,No,,Female
124,125,U0206.bmp,5,95,Select,No,,Female
125,126,U0207.bmp,100,0,Select,Yes,54,Male
126,127,U0208.bmp,0,100,Select,No,,Female
127,128,U0209.bmp,80,20,No,No,,Not agreed
128,129,U0210.bmp,5,95,Select,No,,Female
129,130,U0211.bmp,90,10,Select,No,,Male
130,131,U0214.bmp,5,95,Select,Yes,55,Female
131,132,U0215.bmp,15,85,No,No,,Not agreed
132,133,U0217.bmp,95,5,Select,Yes,56,Male
133,134,U0219.bmp,0,100,Select,No,,Female
134,135,U0220.bmp,0,100,Select,No,,Female
135,136,U0222.bmp,100,0,Select,No,,Male
136,137,U0223.bmp,100,0,Select,No,,Male
137,138,U0225.bmp,0,100,Select,No,,Female
138,139,U0228.bmp,100,0,Select,Yes,57,Male
139,140,U0229.bmp,0,100,Select,No,,Female
140,141,U0230.bmp,35,65,No,Yes,58,Not agreed
141,142,U0231.bmp,5,95,Select,No,,Female
142,143,U0233.bmp,15,85,No,No,,Not agreed
143,144,U0234.bmp,95,5,Select,No,,Male
144,145,U0236.bmp,15,85,No,No,,Not agreed
145,146,U0239.bmp,95,5,Select,No,,Male
146,147,U0240.bmp,95,5,Select,No,,Male
147,148,U0242.bmp,70,30,No,Yes,59,Not agreed
148,149,U0244.bmp,10,90,Select,Yes,60,Female
149,150,U0245.bmp,100,0,Select,No,,Male
